"","id","code","lastpage","random","Vig1","Vig2","Vig3","ursache","affekt_1","affekt_2","affekt_3","affekt_4","affekt_5","affekt_6","affekt_7","affekt_8","affekt_10","affekt_11","affekt_13","affekt_12","affekt_14","affekt_15","affekt_16","text","int_1","sta_1","glo_1","kon_1","sozunt_ins5","sozunt_ins1","sozunt_ins4","sozunt_emo5","sozunt_inf3","sozunt_emo1","sozunt_inf1","sozunt_emo2","sozunt_inf2","sozunt_emo3","sozunt_ins3","sozunt_emo4","sozunt_inf4","sozunt_inf5","sozunt_ins2","sozuntoffen_1","sozuntoffen_2","sozuntoffen_3","check_1","seffsab_1","seffsab_2","seffsab_20","seffsab_14","seffsab_6","seffsab_28","seffsab_48","seffsab_39","seffsab_46","seffsab_47","seffsab_4","seffsab_29","seffsab_44","seffsab_27","seffsab_42","seffsab_9","sex","age"
"1",360,"UR09FRW",30,3,NA,NA,NA,"Passung Lernarrangement - SuS-Vorkenntnisse",4,3,4,1,2,5,1,2,2,1,1,1,2,5,3,NA,4,5,5,6,2,2,2,6,4,3,5,6,3,6,2,6,6,3,2,"über die Gefühle des LAA während der Situation ins Gespräch kommen","Bewältigungsstrategien im Prozess erörtern","",3,4,4,4,3,4,3,4,4,4,4,4,3,4,4,3,4,2,51
"2",361,"ED15HAL",11,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",546,"CH01UWM",30,3,NA,NA,NA,"Da ich weder individuelle Situation des Schülers, noch der U- Stunde kenne, macht es keinen Sinn hier eine Hauptursache zu erraten…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,6,6,4,6,6,4,6,5,6,6,6,6,"Gemeinsam mit LAA die Situation analysieren","Gemeinsam Handlungsalternativen erarbeiten","LAA auswählen lassen, welche Alternative er/sie ausprobieren möchte… und anschließend gucken, ob es besser war",NA,4,4,4,3,4,4,4,4,4,4,4,NA,4,4,4,4,1,47
"4",363,"RE14PEF",30,3,NA,NA,NA,"Langeweile",2,3,3,1,3,2,2,2,2,1,2,1,2,5,2,NA,4,6,6,6,1,2,4,6,5,5,5,6,5,6,3,6,6,5,2,"","","",5,4,4,4,3,4,3,3,4,3,3,4,4,4,4,4,4,2,34
"5",364,"GI15HED",30,3,NA,NA,NA,"unzureichende kognitive und motivationale Aktivierung des Schülers",5,1,5,1,1,4,1,1,4,1,1,1,1,5,1,NA,5,6,4,6,3,4,6,6,6,4,6,6,6,5,5,6,6,6,5,"zunächst die Wahrnehmung der Situation durch den LAA erfragen","die subjektiven Theorien / Glaubenssätze des LAA zu den Ursachen der Störung thematisieren","gemeinsam mit dem LAA Lösungen entwickeln und später mit ihm evaluieren",5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,51
"6",365,"MA12HUS",8,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",366,"DO07PIR",30,3,NA,NA,NA,"pubertäres Herausfordern von Grenzsituationen",2,2,4,1,1,1,1,1,2,1,1,1,1,5,1,NA,4,7,7,7,6,6,2,6,6,6,6,6,5,5,5,6,6,6,5,"auch mit anderen an der Ausbildung Beteiligten ins Gespräch kommen wollen.","die Gesamtsituation der Schule reflektieren.","kollegialen Austausch fördern.",4,4,4,4,3,4,4,2,3,3,4,4,2,3,4,4,4,1,39
"8",367,"LI28HUP",30,2,NA,NA,NA,"Aus dem Stundeneinstieg geht kein konkreter Handlungsauftrag / keine Problemstellung / keine Leitfrage hervor, die deutlich macht, was wozu erarbeitet werden soll.",1,2,4,1,1,1,1,2,3,1,1,1,2,1,1,NA,4,7,1,7,1,3,1,6,5,3,1,5,5,6,5,5,6,6,3,"mit der LAA GEMEINSAM Lösungen erarbeiten","","",4,4,4,4,3,4,4,3,3,3,4,3,2,3,3,3,3,1,52
"9",370,"MA27NOL",30,3,NA,NA,NA,"Der Unterricht spricht die Schüler_innen nicht an.",1,2,5,1,1,1,1,2,2,1,1,1,1,5,2,NA,4,5,4,7,1,4,5,6,6,1,1,4,2,5,3,6,6,5,5,"versuchen, die/den LAA durch zirkuläre Fragen auf eigene Thesen für die Ursache der Störung zu bringen","würde fragen, in welchen Situationen solche Störungen auftreten","würde fragen, wann der/die LAA die Schüler_innen besonders aufmerksam und im Unterricht aktiv erlebt",3,4,4,4,3,3,3,1,2,3,4,3,3,4,4,3,4,1,54
"10",371,"CH16UDM",30,2,NA,NA,NA,"Transparenz -> Motivation",2,3,3,1,3,1,1,2,3,1,2,1,2,3,2,NA,4,6,4,6,1,4,5,5,5,3,6,5,5,6,2,4,6,5,2,"","","",3,4,3,4,3,4,3,3,4,4,3,3,2,4,3,3,4,1,48
"11",565,"CO04HAB",30,1,NA,NA,NA,"Lehrkraftverhalten",1,1,4,1,1,NA,2,2,1,1,1,1,1,2,2,NA,6,7,7,7,5,5,6,6,6,4,NA,6,6,6,5,6,6,6,5,"konkrete Handlungsschritte gemeinsam erarbeiten unter Einbeziehung der AL","Ursachen des Verhaltens herausfiltern wie grundsätzliche Unsicherheit, Körpersprache oder Planungsaspekte","",6,4,4,4,4,4,3,3,3,4,4,3,4,4,4,4,4,1,46
"12",373,"BR31ERW",13,3,NA,NA,NA,"",2,4,4,1,2,NA,1,2,1,1,2,1,1,3,2,NA,4,4,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",374,"SU28HIF",18,2,NA,NA,NA,"Der Arbeitsauftrag ist nicht verstanden worden, es gibt Unklarheiten, die durch SuS zunächst geklärt werden sollten.",4,1,4,1,2,3,1,1,4,1,2,1,1,4,1,NA,4,4,4,6,2,2,5,6,6,2,2,6,5,5,4,6,6,6,5,"die Sicht der LAA auf die Situation anhören.","fragen, ob das öfter in der Lerngruppe auftritt.","fragen, welche Maßnahmen ggf. schon ausprobiert worden sind.",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",376,"MA23JUL",30,1,NA,NA,NA,"Die Klasse ist nicht daran gewöhnt, zu Beginn oder während des Unterrichts vereinbarte Regeln zu beachten.",2,5,NA,1,3,1,1,2,1,1,2,1,1,4,1,NA,4,7,5,5,1,1,5,6,4,3,4,6,3,5,2,6,5,4,4,"nach besonderen Vorkommnissen fragen","fragen, wie die / der LAA die Situation empfunden hat","",3,3,3,3,2,2,3,2,3,3,4,3,3,4,3,4,4,1,56
"15",377,"IN16GEB",30,3,NA,NA,NA,"Ich kann keine Hauptursache benennen, da ich weder die Lehrkraft noch den Schüler kenne. Beide haben Gründe, sich genau so zu verhalten, wie es beschrieben ist.  Ich habe Ideen für viele Hypothesen. ",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,7,1,1,5,6,3,1,1,6,1,6,1,6,6,5,2,"nach Hypothesen des als störend wahrgenommenen Verhaltens fragen, da Verhalten immer funktional ist. Betrifft sowohl Verhalten der Lehrkraft, als auch des Schülers","systemische Techniken besprechen, um das als störend wahrgenommene Verhalten zukünftig produktiv nutzen zu können","verdeutlichen, dass störungsfreier Unterricht eine didaktische Fiktion ist und diese Situation eine sehr gute Lernchance darstellt",6,4,3,4,3,NA,4,3,4,4,4,3,4,4,4,4,4,1,46
"16",378,"ED24HAH",30,3,NA,NA,NA,"Langeweile in Kombination mit einer typischen Machtkonstellation. ",4,2,4,1,2,2,1,1,3,1,1,1,1,4,2,NA,4,6,5,7,1,2,4,5,5,2,5,6,2,5,1,4,6,5,5,"für Humor in einer solchen Situation sensibilisieren","für gesunde Grenzen der Verantwortungsübernahme aufmerksam machen ","",3,4,4,4,3,4,3,3,3,4,3,4,3,3,4,3,4,1,58
"17",379,"EL04ULT",30,2,NA,NA,NA,"Das Lernangebot überfordert die SuS massiv",4,2,5,1,1,1,2,2,4,1,1,1,1,5,1,NA,5,7,6,7,1,2,2,4,4,5,6,6,6,6,2,6,6,6,4,"zur eigenen Reflexion der Situation anregen","Input geben zu Diagnosemöglichkeiten","über Unterstützungsangeboten im Innen und Außen nachdenken",2,3,3,3,3,3,4,2,3,3,4,3,4,4,3,4,4,1,51
"18",380,"MA21FRA",9,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
